measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Democratic People's Republic of Korea,Male,15-49 years,Bipolar disorder,Percent,2021,0.0024459672826175,0.0033355536814153,0.0016443052260964
Prevalence,Democratic People's Republic of Korea,Female,15-49 years,Bipolar disorder,Percent,2021,0.0025461380574965,0.0034722816543203,0.0017305203052337
Prevalence,People's Republic of China,Male,15-49 years,Bipolar disorder,Percent,2021,0.0023714153170635,0.0028845276780862,0.0019218324200931
Prevalence,People's Republic of China,Female,15-49 years,Bipolar disorder,Percent,2021,0.002573068576355,0.0031041569758611,0.0020848585347573
Prevalence,Democratic Republic of Timor-Leste,Male,15-49 years,Bipolar disorder,Percent,2021,0.0038152276578504,0.0052951124766917,0.0025735302794741
Prevalence,Democratic Republic of Timor-Leste,Female,15-49 years,Bipolar disorder,Percent,2021,0.0039798898376543,0.0054668294600648,0.0027368537447213
Prevalence,Kingdom of Thailand,Male,15-49 years,Bipolar disorder,Percent,2021,0.0042391135573217,0.0056823688240382,0.0029256259003508
Prevalence,Kingdom of Thailand,Female,15-49 years,Bipolar disorder,Percent,2021,0.0044326006569623,0.0059655102563365,0.0031497990079571
Prevalence,Republic of the Union of Myanmar,Male,15-49 years,Bipolar disorder,Percent,2021,0.0040893450916979,0.0055315049067085,0.002814406011282
Prevalence,Republic of the Union of Myanmar,Female,15-49 years,Bipolar disorder,Percent,2021,0.0042353421823628,0.0057505720647847,0.0029046379253464
Prevalence,Republic of Vanuatu,Male,15-49 years,Bipolar disorder,Percent,2021,0.0033778710083362,0.0046914105337206,0.0022819120456354
Prevalence,Republic of Vanuatu,Female,15-49 years,Bipolar disorder,Percent,2021,0.003482310225073,0.0049490023675387,0.0023336048192951
Prevalence,Democratic Socialist Republic of Sri Lanka,Male,15-49 years,Bipolar disorder,Percent,2021,0.0041578506526968,0.0056964566985791,0.0028155336429815
Prevalence,Democratic Socialist Republic of Sri Lanka,Female,15-49 years,Bipolar disorder,Percent,2021,0.0043454519185119,0.0058993241456389,0.0030519455480018
Prevalence,Republic of the Philippines,Male,15-49 years,Bipolar disorder,Percent,2021,0.0041487459559556,0.0050481417430418,0.0033299266368104
Prevalence,Republic of the Philippines,Female,15-49 years,Bipolar disorder,Percent,2021,0.0042831286799888,0.0051997882352064,0.0034218485862291
Prevalence,Kingdom of Tonga,Male,15-49 years,Bipolar disorder,Percent,2021,0.0034128211683817,0.0047163754229687,0.0022726928033595
Prevalence,Kingdom of Tonga,Female,15-49 years,Bipolar disorder,Percent,2021,0.0035175190620875,0.0047808793601409,0.0023933786953001
Prevalence,Solomon Islands,Male,15-49 years,Bipolar disorder,Percent,2021,0.0033388337572822,0.0046002403631852,0.0022342121880689
Prevalence,Solomon Islands,Female,15-49 years,Bipolar disorder,Percent,2021,0.0034395814417714,0.0045786964861956,0.0023263407534105
Prevalence,Independent State of Samoa,Male,15-49 years,Bipolar disorder,Percent,2021,0.0034073595417744,0.0047167415543349,0.0022978898856564
Prevalence,Independent State of Samoa,Female,15-49 years,Bipolar disorder,Percent,2021,0.0034532648504184,0.0046999593888496,0.0023071019650406
Prevalence,Malaysia,Male,15-49 years,Bipolar disorder,Percent,2021,0.0042470077788772,0.0059342295034284,0.0028858227172398
