measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,People's Republic of China,Male,15-49 years,Depressive disorders,Percent,2021,0.0254056574139112,0.0295624962896879,0.0220096446543948
Prevalence,People's Republic of China,Female,15-49 years,Depressive disorders,Percent,2021,0.0410636004351089,0.0476724373802695,0.0357376962048409
Prevalence,Democratic People's Republic of Korea,Male,15-49 years,Depressive disorders,Percent,2021,0.023613556844851,0.029380919051774,0.0189437321012551
Prevalence,Democratic People's Republic of Korea,Female,15-49 years,Depressive disorders,Percent,2021,0.0405028566352802,0.0508029906001853,0.032409810313507
Prevalence,Republic of Kiribati,Male,15-49 years,Depressive disorders,Percent,2021,0.0379147783109778,0.0483482047960154,0.0298557619802088
Prevalence,Republic of Kiribati,Female,15-49 years,Depressive disorders,Percent,2021,0.0417946758826301,0.0520148438433132,0.033009234279342
Prevalence,Republic of Tajikistan,Male,15-49 years,Depressive disorders,Percent,2021,0.0317475580545578,0.0400985521908945,0.0251529022024168
Prevalence,Republic of Tajikistan,Female,15-49 years,Depressive disorders,Percent,2021,0.0494284900077728,0.0629982790249324,0.0386702193608639
Prevalence,Republic of Fiji,Male,15-49 years,Depressive disorders,Percent,2021,0.0374606693528987,0.0475251149773768,0.0298157453059684
Prevalence,Republic of Fiji,Female,15-49 years,Depressive disorders,Percent,2021,0.0464919393898797,0.0587053751341564,0.0369893548098337
Prevalence,Socialist Republic of Viet Nam,Male,15-49 years,Depressive disorders,Percent,2021,0.0265371734103702,0.0324826486053587,0.0213053797668221
Prevalence,Socialist Republic of Viet Nam,Female,15-49 years,Depressive disorders,Percent,2021,0.042752558313205,0.052828908512882,0.0344884141826732
Prevalence,Mongolia,Male,15-49 years,Depressive disorders,Percent,2021,0.0479066865610766,0.0615545314231117,0.0378441859445774
Prevalence,Mongolia,Female,15-49 years,Depressive disorders,Percent,2021,0.0604546431830172,0.0779752175384979,0.0485231636558642
Prevalence,Kyrgyz Republic,Male,15-49 years,Depressive disorders,Percent,2021,0.0423513053496857,0.052873266828866,0.0335218212480582
Prevalence,Kyrgyz Republic,Female,15-49 years,Depressive disorders,Percent,2021,0.0575029965702324,0.0721690492717883,0.0451712446665964
Prevalence,Democratic Socialist Republic of Sri Lanka,Male,15-49 years,Depressive disorders,Percent,2021,0.0412352021745791,0.0514708793766054,0.0329282429396528
Prevalence,Democratic Socialist Republic of Sri Lanka,Female,15-49 years,Depressive disorders,Percent,2021,0.0493971791579422,0.0614645000209016,0.0400112777916858
Prevalence,Democratic Republic of Timor-Leste,Male,15-49 years,Depressive disorders,Percent,2021,0.0333682485122744,0.0425839125648467,0.0263758542410496
Prevalence,Democratic Republic of Timor-Leste,Female,15-49 years,Depressive disorders,Percent,2021,0.0420489254498938,0.055121256000776,0.0333321325355956
Prevalence,Republic of the Philippines,Male,15-49 years,Depressive disorders,Percent,2021,0.0381750706047774,0.0450653009022601,0.0327202045734615
Prevalence,Republic of the Philippines,Female,15-49 years,Depressive disorders,Percent,2021,0.0467275306689387,0.0552142457563171,0.0401200041610739
Prevalence,Kingdom of Thailand,Male,15-49 years,Depressive disorders,Percent,2021,0.0346381963457322,0.043845934949416,0.0272520838685382
Prevalence,Kingdom of Thailand,Female,15-49 years,Depressive disorders,Percent,2021,0.0461888814229314,0.0580658765820611,0.0361524072901229
Prevalence,Republic of the Union of Myanmar,Male,15-49 years,Depressive disorders,Percent,2021,0.029640111784846,0.037222263977545,0.0237463702286898
Prevalence,Republic of the Union of Myanmar,Female,15-49 years,Depressive disorders,Percent,2021,0.0355518997283011,0.0443353827712185,0.0284306514443508
Prevalence,Republic of Kazakhstan,Male,15-49 years,Depressive disorders,Percent,2021,0.0429368515912125,0.0531919698576123,0.0338285251548762
Prevalence,Republic of Kazakhstan,Female,15-49 years,Depressive disorders,Percent,2021,0.0574834038038698,0.0706275382145673,0.0445423735092339
Prevalence,Republic of Armenia,Male,15-49 years,Depressive disorders,Percent,2021,0.0388772435875185,0.0489019243801009,0.0312247333601728
Prevalence,Republic of Armenia,Female,15-49 years,Depressive disorders,Percent,2021,0.053083730896592,0.0676444540626722,0.0412089206359224
Prevalence,Georgia,Male,15-49 years,Depressive disorders,Percent,2021,0.0441538888211292,0.0561019900523757,0.034560349877411
Prevalence,Georgia,Female,15-49 years,Depressive disorders,Percent,2021,0.0562758863921696,0.0717572444014576,0.043121516711858
Prevalence,Republic of Azerbaijan,Male,15-49 years,Depressive disorders,Percent,2021,0.032319015645941,0.0402800270083108,0.0256102871103259
Prevalence,Republic of Azerbaijan,Female,15-49 years,Depressive disorders,Percent,2021,0.0507693281272158,0.0640958476782556,0.0401927120944571
Prevalence,Lao People's Democratic Republic,Male,15-49 years,Depressive disorders,Percent,2021,0.0380518383828011,0.0482229922558923,0.0292386998516616
Prevalence,Lao People's Democratic Republic,Female,15-49 years,Depressive disorders,Percent,2021,0.0391588677777671,0.0493658068228708,0.0308917640698221
Prevalence,Republic of Vanuatu,Male,15-49 years,Depressive disorders,Percent,2021,0.0369706717132677,0.0477591843179969,0.0289985882125505
Prevalence,Republic of Vanuatu,Female,15-49 years,Depressive disorders,Percent,2021,0.0440996479821316,0.0549123417676921,0.0349751129283772
Prevalence,Kingdom of Tonga,Male,15-49 years,Depressive disorders,Percent,2021,0.0301122031727738,0.0384828191890232,0.0240448962782493
Prevalence,Kingdom of Tonga,Female,15-49 years,Depressive disorders,Percent,2021,0.0405352117005744,0.0519153912384162,0.0327654510082984
Prevalence,Malaysia,Male,15-49 years,Depressive disorders,Percent,2021,0.0412809917387806,0.0529567208394693,0.0324102008327295
Prevalence,Malaysia,Female,15-49 years,Depressive disorders,Percent,2021,0.0492653639929406,0.0624016233099143,0.038779533223669
Prevalence,Federated States of Micronesia,Male,15-49 years,Depressive disorders,Percent,2021,0.0356281877048026,0.0457671959386288,0.027366861435105
Prevalence,Federated States of Micronesia,Female,15-49 years,Depressive disorders,Percent,2021,0.0417338254017157,0.0530278488934599,0.0329497935662817
Prevalence,Republic of Maldives,Male,15-49 years,Depressive disorders,Percent,2021,0.03654348212575,0.0455438331661535,0.0295138275024299
Prevalence,Republic of Maldives,Female,15-49 years,Depressive disorders,Percent,2021,0.0511621360935447,0.0643567016976199,0.0413668752891197
Prevalence,Republic of Indonesia,Male,15-49 years,Depressive disorders,Percent,2021,0.0299242247871579,0.0348344699902978,0.0257556441685791
Prevalence,Republic of Indonesia,Female,15-49 years,Depressive disorders,Percent,2021,0.0425606796113692,0.0497547250861421,0.0365591822716166
Prevalence,Independent State of Papua New Guinea,Male,15-49 years,Depressive disorders,Percent,2021,0.0373323406295364,0.0474830101544926,0.0291840405494048
Prevalence,Independent State of Papua New Guinea,Female,15-49 years,Depressive disorders,Percent,2021,0.0444366827886909,0.0557000303332811,0.0354235154041826
Prevalence,Independent State of Samoa,Male,15-49 years,Depressive disorders,Percent,2021,0.0340490411936986,0.0438758525544569,0.0261337718261737
Prevalence,Independent State of Samoa,Female,15-49 years,Depressive disorders,Percent,2021,0.0406801495849021,0.0511129149474686,0.0314678750951073
