location,country_code,gdp_usd,anxiety_percent_female,anxiety_percent_male,bipolar_percent_female,bipolar_percent_male,depress_percent_female,depress_percent_male,suicide_rate_per100k_female,suicide_rate_per100k_male
American Samoa,ASM,9.631426860987302,-2.741194061157421,-3.2348174856135823,-5.645932712743048,-5.669819275556044,-3.215339298682381,-3.4841291890788413,5.571611505960772,19.08245579646725
Antigua and Barbuda,ATG,9.760793111067638,-2.443410173323731,-3.010998683148788,-4.314346481133829,-4.447008409084731,-2.8509178941459017,-3.5058530387150038,0.2515594578181232,2.028624809264988
Argentine Republic,ARG,9.281545800038526,-2.1973325233095573,-2.8602845842293525,-4.453762614698569,-4.683984415871944,-2.889929827077964,-3.31629586445653,4.953539508439769,21.25544205732086
Australia,AUS,11.012178527854376,-2.2132021169684752,-2.6816719929086656,-4.123843739633873,-4.175366700113059,-2.4411008731976946,-2.8160662631434263,7.524478085998874,25.59808384881059
Barbados,BRB,9.836106910813175,-2.4104495021123045,-2.9734373264635945,-4.3247595043187435,-4.455263877756372,-2.80131555624224,-3.334978661917711,1.165734843239891,6.877231153216021
Belize,BLZ,8.719744014189157,-2.485850740642943,-3.0392025676063175,-4.335125420569165,-4.463667253487736,-2.863995349416297,-3.2978197983825304,1.612453116833896,11.198743325807914
Bermuda,BMU,11.632591394607786,-2.429240143169307,-2.98907407158351,-4.294595092012337,-4.431569349055074,-2.8014029713851087,-3.3292691979930042,0.8573934439211859,4.807645091832745
Bosnia and Herzegovina,BIH,8.894991591319256,-2.6165173925230567,-3.206003871388889,-4.915952926844151,-5.010940697346161,-2.8741566738488094,-3.4783272648485855,2.5957374543515432,13.939782925517298
Brunei Darussalam,BRN,10.341967091210675,-2.894943748792916,-3.4550188421126125,-4.807196181803213,-4.994324107717434,-3.4394978580652507,-3.869026605204129,1.6905958072292862,7.243557778501455
Burkina Faso,BFA,6.797421627137521,-3.0896214882619915,-3.3210795410744782,-5.0549058829193765,-5.0827171497518915,-2.8448715542076535,-3.1811460564960847,3.1060930299591285,11.008238508052113
Canada,CAN,10.868508335712482,-2.4043945597297975,-2.919151722909677,-4.452332473742486,-4.462015999300576,-2.5301800540698514,-3.0462794441962218,7.390850022596589,24.970020933371785
Central African Republic,CAF,6.199013416666125,-2.795809111409581,-3.0792666881691217,-4.985786577986209,-5.022411415180752,-2.3635547589975845,-2.635015402801112,5.197423189903055,21.867346489330888
