location,sex,age,anxiety_percent,bipolar_percent,depress_percent,suicide_rate_per100k,country_code,year,gdp_usd
People's Republic of China,Male,15-49 years,0.0300887456352552,0.0023714153170635,0.0254056574139112,7.148371646934742,CHN,2021.0,12617.5051041181
People's Republic of China,Female,15-49 years,0.0499904324086692,0.002573068576355,0.0410636004351089,4.274235169414819,CHN,2021.0,12617.5051041181
Democratic People's Republic of Korea,Male,15-49 years,0.0312231222453363,0.0024459672826175,0.023613556844851,10.637906056376574,PRK,2021.0,
Democratic People's Republic of Korea,Female,15-49 years,0.0521225208554009,0.0025461380574965,0.0405028566352802,7.770533794853746,PRK,2021.0,
Socialist Republic of Viet Nam,Male,15-49 years,0.0226898054198093,0.0042338622357374,0.0265371734103702,11.64964843837372,VNM,2021.0,3704.1935590038
Socialist Republic of Viet Nam,Female,15-49 years,0.0431891198029887,0.0044122459020495,0.042752558313205,4.4900680274687685,VNM,2021.0,3704.1935590038
Republic of Kiribati,Male,15-49 years,0.0393205959778641,0.0033816040017935,0.0379147783109778,51.43726377601263,KIR,2021.0,2253.82500103057
Republic of Kiribati,Female,15-49 years,0.0648110202581314,0.0034797315868008,0.0417946758826301,7.891140490975061,KIR,2021.0,2253.82500103057
Democratic Republic of Timor-Leste,Male,15-49 years,0.0375954127379883,0.0038152276578504,0.0333682485122744,8.366615003421753,TLS,2021.0,2684.82704373402
Democratic Republic of Timor-Leste,Female,15-49 years,0.0657409620184506,0.0039798898376543,0.0420489254498938,3.6351727641527374,TLS,2021.0,2684.82704373402
Democratic Socialist Republic of Sri Lanka,Male,15-49 years,0.0408127091727163,0.0041578506526968,0.0412352021745791,30.31736948211307,LKA,2021.0,3999.33764677637
Democratic Socialist Republic of Sri Lanka,Female,15-49 years,0.0721769068690185,0.0043454519185119,0.0493971791579422,8.726533176562768,LKA,2021.0,3999.33764677637
Kingdom of Thailand,Male,15-49 years,0.0347473500426432,0.0042391135573217,0.0346381963457322,25.580139800392686,THA,2021.0,7058.0694998852
Kingdom of Thailand,Female,15-49 years,0.0606484117389898,0.0044326006569623,0.0461888814229314,4.574178398945371,THA,2021.0,7058.0694998852
Republic of Fiji,Male,15-49 years,0.0408697807905354,0.0034862443111741,0.0374606693528987,17.984017191463362,FJI,2021.0,4696.17101880318
Republic of Fiji,Female,15-49 years,0.0671397488554921,0.003542953707554,0.0464919393898797,7.766061034187166,FJI,2021.0,4696.17101880318
Malaysia,Male,15-49 years,0.0482781977171133,0.0042470077788772,0.0412809917387806,8.477669270524554,MYS,2021.0,10903.1116425938
Malaysia,Female,15-49 years,0.0847918570553513,0.0043384045468906,0.0492653639929406,2.072283908003468,MYS,2021.0,10903.1116425938
Republic of Indonesia,Male,15-49 years,0.0398311658270283,0.0042467294427354,0.0299242247871579,2.43565760479994,IDN,2021.0,4287.17313989405
